176 191 26	Acid_green
124 185 232	Air_Force_blue - Aero
192 232 213	Aero_blue
178 132 190	African_violet_(color)
114 160 193	Air_Force_blue - Air_superiority_blue/PRU_blue
237 234 224	Shades_of_white - Alabaster
240 248 255	Alice_blue
196 98 16	Shades_of_orange - Alloy_orange
239 222 205	Almond_(color)
229 43 80	Amaranth_(color)
159 43 104	Amaranth_(color) - Amaranth_deep_purple
241 156 187	Amaranth_(color) - Amaranth_pink
171 39 79	Amaranth_(color) - Amaranth_purple
211 33 45	Amaranth_(color)
59 122 87	Amazon_(color)
255 191 0	Amber_(color)
255 126 0	Amber_(color) - SAE/ECE_amber
153 102 204	Amethyst_(color)
164 198 57	Android_green
205 149 117	Antique_brass
102 93 30	Antique_bronze
145 92 131	Fuchsia_(color) - Antique_fuchsia
132 27 45	Ruby_(color) - Antique_ruby
250 235 215	Shades_of_white - Antique_white
0 128 0	Ao_(color)
141 182 0	Chartreuse_(color) - Apple_green
251 206 177	Apricot_(color)
0 255 255	Aqua_(color)
127 255 212	Aquamarine_(color)
208 255 20	Lime_(color) - Arctic_lime
75 83 32	Shades_of_green - Army_green
143 151 121	Shades_of_green - Artichoke
233 214 107	Arylide_yellow
178 190 181	Shades_of_gray - Ash_gray
135 169 107	Shades_of_green - Asparagus
255 153 102	Shades_of_orange - Atomic_tangerine
165 42 42	Auburn_(color)
253 238 0	Aureolin
86 130 3	Chartreuse_(color) - Avocado
0 127 255	Azure_(color)
240 255 255	Shades_of_azure - Azure_(web_color)
137 207 240	Baby_blue
161 202 241	Baby_blue - Baby_blue_eyes
244 194 194	Shades_of_pink - Baby_pink
254 254 250	Shades_of_white - Baby_powder
255 145 175	Baker-Miller_pink
250 231 181	List_of_Crayola_crayon_colors - Standard_colors
218 24 132	Shades_of_pink - Barbie_pink
124 10 2	Shades_of_red - Barn_red
132 132 130	Battleship_grey
188 212 230	Baby_blue - Beau_blue
159 129 112	Shades_of_brown - Beaver
245 245 220	Beige
46 88 148	Sapphire_(color) - B'dazzled_blue
156 37 66	Ruby_(color) - Big_dip_o'ruby
255 228 196	X11_color_names - Color_name_charts
61 43 31	Bistre
150 113 23	Bistre - Bistre_brown
202 224 13	Lemon_(color) - Bitter_lemon
191 255 0	Lime_(color)
254 111 94	Shades_of_orange - Bittersweet
191 79 81	Shades_of_orange - Bittersweet_shimmer
0 0 0	Black
