Web_colors - Hex_triplet
246 173 198	250 218 94	Naples_yellow
255 222 173	Navajo_white
0 0 128	Navy_blue
25 116 210	List_of_Crayola_crayon_colors - Standard_colors
70 102 255	Shades_of_blue - Neon_blue
255 163 67	Neon_Carrot
57 255 20	Shades_of_green - Neon_green
254 65 100	Fuchsia_(color) - Neon_fuchsia
215 131 127	Shades_of_pink - New_York_pink
114 116 114	Shades_of_gray - Nickel
164 221 237	Non-photo_blue
233 255 219	Chartreuse_(color) - Nyanza
79 66 181	Turquoise_Pearl
72 191 145	Turquoise_Pearl
204 119 34	Ochre
67 48 46	Burgundy_(color) - Old_burgundy
207 181 59	Old_gold
253 245 230	Shades_of_white - Old_lace
121 104 120	Lavender_(color) - Old_lavender
103 49 71	Mauve - Old_mauve
192 128 129	Rose_(color) - Old_rose
132 132 130	Silver_(color) - Old_silver
128 128 0	Olive_(color)
107 142 35	Olive_drab
60 52 31	Olive_drab
181 179 92	Olive_(color) - Olive_green
154 185 115	Olive_(color) - Olivine
53 56 57	Shades_of_black_(colors) - Onyx
168 195 188	Shades_of_gray - Opal
183 132 167	Mauve - Opera_mauve
255 127 0	Orange_(colour)
255 117 56	Shades_of_orange - Orange_(Crayola)
255 88 0	Shades_of_orange - Orange_(Pantone)
255 165 0	Shades_of_orange - Orange_(web_color)
255 159 0	Orange_peel_(color)
255 104 31	Vermilion - Orange-red
255 83 73	Vermilion
250 91 61	List_of_Crayola_crayon_colors - Heads_'n_Tails
245 189 31	Marigold_(color) - Orange-yellow
248 213 104	Marigold_(color) - Orange-yellow_(Crayola)
218 112 214	Orchid_(color)
242 189 205	Orchid_(color) - Orchid_pink
226 156 210	Orchid_(color)
45 56 58	Shades_of_black - Outer_space_(Crayola)
255 110 74	List_of_Crayola_crayon_colors - Fluorescent_crayons
128 0 32	Oxblood
0 33 71	Oxford_Blue_(colour)
132 22 23	Shades_of_red - OU_crimson
28 169 201	List_of_Crayola_crayon_colors - Standard_colors
0 102 0	Shades_of_green - Pakistan_green
104 40 96	Palatinate_(colour)
188 212 230	Aqua_(color) - Pale_aqua
155 196 226	Cerulean - Pale_cerulean
250 218 221	Shades_of_pink - Pale_pink
250 230 250	Shades_of_purple - Pale_purple
201 192 187	Silver_(color) - Pale_silver
236 235 189	Spring_bud - Pale_spring_bud
120 24 74	Shades_of_purple - Pansy_purple
0 155 125	Viridian - Paolo_Veronese_green
255 239 213	Papaya_whip
230 62 98	Shades_of_pink - Paradise_pink
80 200 120	Paris_green
222 165 164	Shades_of_pink - Pastel_pink
128 0 128	Shades_of_purple - Purple_(HTML/CSS_color)_(patriarch)
83 104 120	Payne%27s_grey
255 229 180	Peach_(color)
255 203 164	Peach_(color) - Peach
255 218 185	Peach_(color) - Peach_puff
209 226 49	Chartreuse_(color) - Pear
183 104 162	Shades_of_purple - Pearly_purple
204 204 255	Periwinkle_(color)
195 205 230	Periwinkle_(color) - Periwinkle_(Crayola)
225 44 44	List_of_Crayola_crayon_colors - Standard_colors
28 57 187	Persian_blue
0 166 147	Shades_of_green - Persian_green
50 18 122	Persian_blue - Persian_indigo
217 144 88	Shades_of_orange - Persian_orange
247 127 190	Rose_(color) - Persian_pink
112 28 28	Plum_(color) - Persian_plum_(prune)
204 51 51	Persian_red
254 40 162	Rose_(color) - Persian_rose
236 88 0	Shades_of_orange - Persimmon
139 168 183	List_of_Crayola_crayon_colors - Silver_Swirls
223 0 255	Shades_of_purple - Psychedelic_purple_(phlox)
0 15 137	Phthalocyanine_Blue_BN
18 53 36	Phthalocyanine_Green_G
46 39 135	Shades_of_blue - Picotee_blue
195 11 78	Carmine_(color) - Pictorial_carmine
253 221 230	Shades_of_pink - Piggy_pink
1 121 111	Shades_of_green - Pine_green
42 47 35	Shades_of_green - Pine_tree
255 192 203	Pink
215 72 148	Shades_of_pink - Pink_(Pantone)
252 116 253	Manatee_(color)
255 221 244	Shades_of_pink - Pink_lace
216 178 209	Shades_of_pink - Pink_lavender
247 143 167	List_of_Crayola_crayon_colors
147 197 114	Chartreuse_(color) - Pistachio
229 228 226	Platinum_(color)
142 69 133	Plum_(color)
221 160 221	Plum_(color) - Pale_plum
